Lag,ACF,ACF_Lower_CI,ACF_Upper_CI,PACF,PACF_Lower_CI,PACF_Upper_CI,Ljung-Box Q-Stat,Ljung-Box p-value
0,1.0,1.0,1.0,1.0,1.0,1.0,,
1,0.21724117890755135,0.11465197521520135,0.3198303825999014,0.21783799533312154,0.11524879164077154,0.32042719902547157,17.367681530548175,3.0801923644624955e-05
2,0.1528775796891243,0.045555961393787606,0.260199197984461,0.11156040798837588,0.008971204296025881,0.21414961168072588,25.992300169248693,2.2690482565664502e-06
3,0.10821254303514846,-0.0013770536042223142,0.21780213967451922,0.05852813864928504,-0.04406106504306496,0.16111734234163505,30.325468542306098,1.1787556604511208e-06
4,0.09066059462478931,-0.020047867429495603,0.20136905667907423,0.04597860152493174,-0.05661060216741826,0.14856780521728175,33.37539138862392,1.0006843370357489e-06
5,0.09595481376386474,-0.015532285333151277,0.20744191286088076,0.05587205328155555,-0.04671715041079445,0.15846125697390556,36.80141192316438,6.564333938464234e-07
6,0.09104012091962702,-0.021312801158200778,0.2033930429974548,0.047020285629180356,-0.055568918063169645,0.14960948932153034,39.89405735776971,4.778801913914944e-07
7,0.19508070646439984,0.08195405026228193,0.30820736266651777,0.15971710183353835,0.05712789814118835,0.26230630552588835,54.13387872914248,2.212755924516988e-09
8,0.14115294898950703,0.024539507923941467,0.2577663900550726,0.06104336853673302,-0.04154583515561698,0.163632572229083,61.60990165394592,2.2502241811262987e-10
9,0.06117858950899006,-0.05721938326804355,0.17957656228602367,-0.025512737620586638,-0.12810194131293665,0.07707646607176336,63.01824274446791,3.4993441838791106e-10
10,0.047815223632343494,-0.07091498695745208,0.16654543422213905,-0.009048771710954147,-0.11163797540330414,0.09354043198139586,63.88094902213828,6.631795714025655e-10
11,0.047706618750429836,-0.07122608216682534,0.16663931966768503,0.006479642015197914,-0.09610956167715208,0.10906884570754792,64.74216670818907,1.2048892168827703e-09
12,-0.01964707278157398,-0.13878100338944976,0.09948685782630179,-0.07058218784588187,-0.17317139153823186,0.03200701584646813,64.88864724783332,2.858588338179101e-09
13,0.022874220806353433,-0.09629380564292013,0.142042247255627,0.005055597213695577,-0.09753360647865442,0.10764480090604558,65.08776449679843,6.3552547884139e-09
14,0.08112656973196712,-0.038087657784729764,0.200340797248664,0.05362210913593064,-0.04896709455641936,0.15621131282828066,67.59952390988533,5.234436835640067e-09
15,0.11185685503528561,-0.007936997278259653,0.23165070734883086,0.06878988465542867,-0.033799319036921335,0.17137908834777865,72.3882069625789,1.6715604257707418e-09
16,0.07333732161756795,-0.04755077677625845,0.19422542001139437,0.02415971010724664,-0.07842949358510336,0.12674891379959663,74.45255819785048,1.6358270298316395e-09
17,0.015018445404047747,-0.10633699111039657,0.13637388191849206,-0.03056840794750556,-0.13315761163985557,0.07202079574484443,74.53938016968635,3.516778371400204e-09
18,0.07270333053736408,-0.04867166553539837,0.19407832661012653,0.05442549913273961,-0.04816370455961039,0.1570147028250896,76.57988706450472,3.3754983647453237e-09
19,0.0685900008328752,-0.053242467774621965,0.19042246944037236,0.05454283157848067,-0.04804637211386933,0.15713203527083067,78.40128334843641,3.501770304467373e-09
20,0.09280107363264271,-0.02943712704555236,0.2150392743108378,0.06743625750050561,-0.03515294619184439,0.1700254611928556,81.74512601527903,1.980845774017396e-09
21,0.26386845835545025,0.14089100802514373,0.38684590868575675,0.23739342953351067,0.13480422584116067,0.33998263322586064,108.85799313401454,7.571886000228259e-14
22,0.14012146688279947,0.011323062204968343,0.2689198715606306,0.015242526686519122,-0.08734667700583088,0.11783173037886913,116.52585285226311,7.42842143991338e-15
23,0.06070286228803284,-0.06969003401292662,0.1910957585889923,-0.059630343227946976,-0.16221954692029697,0.042958860464403024,117.96913474105719,9.634831129649856e-15
24,0.0871623239283203,-0.04352765227340785,0.21785230013004844,0.035306252854552855,-0.06728295083779715,0.13789545654690286,120.95356992670055,6.5601663160405976e-15
25,0.050388253936578496,-0.0809121097729319,0.1816886176460889,-0.02208945529379304,-0.12467865898614304,0.08049974839855696,121.9538891859184,1.0001189710217262e-14
26,0.06504890135455896,-0.06645481968012265,0.19655262238924057,-0.0009352103390056809,-0.10352441403135568,0.10165399335334432,123.62590030938675,1.1463883870213995e-14
27,0.11466565291824506,-0.017176278620648452,0.24650758445713855,0.08187973421717809,-0.02070946947517191,0.1844689379095281,128.83675454900293,3.12399923018264e-15
28,0.15522319560814118,0.02233582675293677,0.2881105644633456,0.054264554406008636,-0.048324649286341365,0.15685375809835864,138.41403638913107,1.4457535986472073e-16
29,0.12850637938157952,-0.006275721148509966,0.26328847991166904,0.0061526903666304904,-0.09643651332571951,0.10874189405898049,144.99772113188936,2.2543441564794853e-17
30,0.10358980753662445,-0.03247568022966929,0.23965529530291818,0.04446856008625119,-0.05812064360609881,0.1470577637786012,149.288618964855,8.965056645122205e-18
31,0.09734643258278745,-0.039546560462951366,0.2342394256285263,0.044920025917216194,-0.057669177775133806,0.1475092296095662,153.08922228445562,4.351739017365105e-18
32,0.04912286408072527,-0.08849675522993664,0.1867424833913872,-0.012646136114013178,-0.11523533980636318,0.08994306757833682,154.05991563702685,6.639592308225748e-18
33,0.040227979360963256,-0.09757605630572444,0.17803201502765095,0.026895322532636174,-0.07569388115971383,0.12948452622498619,154.71286166196631,1.1388813680425073e-17
34,0.05838554747591356,-0.07954202693821724,0.19631312189004438,0.018198087079697674,-0.08439111661265233,0.12078729077204767,156.09242501362007,1.4450201213360647e-17
35,0.053598119294502575,-0.08458932383470012,0.19178556242370526,-0.042323891496940394,-0.1449130951892904,0.06026531219540961,157.25854728752313,1.980320922856487e-17
36,0.101510527996872,-0.036895535406738525,0.23991659140048255,0.024853616270987325,-0.07773558742136268,0.12744281996333734,161.4540615732224,8.126410293841876e-18
37,0.08268662991696883,-0.05650078458788306,0.22187404442182074,0.01668903432655887,-0.08590016936579113,0.11927823801890887,164.24632037272528,5.809686033265292e-18
38,0.09121850110804405,-0.04848493707062787,0.23092193928671598,0.056740899440287484,-0.045848304252062516,0.15933010313263749,167.6549282194435,3.251262253032111e-18
39,0.11192192004650685,-0.028406965849534963,0.2522508059425487,0.07451541494218972,-0.028073788750160283,0.17710461863453972,172.8021352004734,9.166430814670098e-19
40,0.056528458377065584,-0.0847367814247674,0.19779369817889855,-0.0037365522499223022,-0.10632575594227231,0.09885265144242769,174.11920821361815,1.1671563882186232e-18
41,0.0304681772676055,-0.11103493096198422,0.17197128549719523,-0.040354162867230536,-0.14294336655958054,0.062235040825119464,174.5030098887515,2.1252399705596184e-18
42,0.12163858364101775,-0.01993355244225252,0.263210719724288,0.04724161451942562,-0.05534758917292438,0.14983081821177563,180.63920436714002,4.0852974758939857e-19
